Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
9000001,VANDALISM - OTHER,2009-01-01T01:23:00Z,Cleared By Arrest,2009-01-01T01:23:00Z,,Sheldon Memorial Art Gallery,451 N. 12th St.,MUSEUM,0,50000,Four bricks thrown through four different glass panes on east side of building.
9000004,BURGLARY,2009-01-01T08:28:00Z,Cleared By Arrest,2009-01-01T00:01:00Z,2009-01-01T08:28:00Z,Lied Center,301 N. 12th St.,AUDITORIUM/THEATER,0,3210,"Unknown person threw a brick breaking a window in the Lied center, they entered the room and damaged several items, $3210.00 damage"
9000006,LOST OR STOLEN ITEM,2009-01-02T09:54:00Z,Inactive,2008-12-30T13:00:00Z,2008-12-31T06:00:00Z,N/A,City of Lincoln,UNKNOWN,100,0,"Lost item in city of Lincoln, $100.00."
9000010,TRAFFIC - SUSPENDED DRIVER,2009-01-02T23:31:00Z,Cleared By Arrest,2009-01-02T23:31:00Z,,N/A,"N. 19th Street and ""P"" Street",STREET,0,0,Non student cited/released for DUS/Making an Improper Turn.
9000011,FALSE INFORMATION - GIVEN TO OFC.,2009-01-02T23:53:00Z,Cleared By Arrest,2009-01-02T23:53:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Non student cited for False Information to a Police Officer.  Lodged on 3 outstanding warrants.
9000013,ALCOHOL - DWI,2009-01-03T01:49:00Z,Cleared By Arrest,2009-01-03T01:49:00Z,,N/A,"""R"" Street and N. 12th Street",STREET,0,0,Non student cited/Detox for DWI (.100 BAC)/Negligent Driving.
9000015,ALCOHOL - MINOR IN POSSESSION,2009-01-04T00:41:00Z,Cleared By Arrest,2009-01-04T00:41:00Z,,N/A,"""R"" Street and N. 14th Street",STREET,0,0,Two non-students cited/released to their parents for MIP. An officer observed numerous hard liquor bottles in the vehicle after it was stopped for violating a stop sign.
9000016,NARCOTICS - POSSESSION,2009-01-04T02:26:00Z,Cleared By Arrest,2009-01-04T02:26:00Z,,N/A,"N. 17th Street and ""Q"" Street",STREET,0,0,UNL student stopped for expired license plates. She was cited/released for marijuana less than an ounce and possession of drug paraphernalia.
9000018,ALCOHOL - MINOR IN POSSESSION,2009-01-04T22:39:00Z,Cleared By Arrest,2009-01-04T22:39:00Z,,N/A,N. 17th Street and N. Antelope Valley Parkway,STREET,0,0,Non-student cited/released for MIP and Open Container. She was stopped for driving without lights at night and officer observed a bottle of Arbor Mist in the car.
9000019,TRAFFIC - OTHER,2009-01-04T23:02:00Z,Cleared By Arrest,2009-01-04T23:02:00Z,,N/A,"N. 17th Street and ""X"" Street",STREET,0,0,"Non-student cited for Willful Reckless driving after violating a stop sign, losing control of the vehicle, and damaging a roadway sign."
9000032,LARCENY - FROM BUILDING,2009-01-06T20:20:00Z,Inactive,2008-12-23T20:00:00Z,2009-01-05T21:00:00Z,Nebraska Hall,900 N. 16th St.,UNL ACADEMIC BUILDING,10,0,"Two containers of soap taken from the 3rd floor women's restroom Nebraska Hall, $10.00 lost."
9000033,MISC - OTHER,2009-01-07T07:53:00Z,Inactive,,,N/A,,INTERNET/CYBERSPACE,0,0,Investigation of a UNLPD police badge for sale on eBay.  Investigation continues
