Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
10000001,ALCOHOL - DWI,2010-01-01T00:42:00Z,Cleared By Arrest,2010-01-01T00:42:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Non UNL student cited for DUI after being contacted for a traffic speeding. BAC .163.
10000002,MEDICAL EMERGENCY,2010-01-01T03:13:00Z,Cleared By Exception,2010-01-01T03:13:00Z,,Delta Tau Delta,715 N. 16th St.,OFF CAMPUS/GREEK HOUSING,0,0,UNL student suffered minor lacerations to his back after a fall.
10000006,ALCOHOL - DRUNK,2010-01-01T20:37:00Z,Cleared By Exception,2010-01-01T20:37:00Z,2010-01-01T20:37:00Z,Bob Devaney Sports Center,1600 Court St.,STREET,0,0,"Intoxicated person North side Devaney Center, taken to Detox and turned over to staff with a BAC of .343."
10000012,ALCOHOL - DWI,2010-01-03T01:34:00Z,Cleared By Arrest,2010-01-03T01:34:00Z,,N/A,"N. 16th Street and ""Q"" Street",STREET,0,0,Non-student cited/released for driving the wrong way on a one way street and DWI (.094).
10000013,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-03T13:37:00Z,Cleared By Exception,2010-01-03T13:37:00Z,,Hardin Hall,1600 N. 33rd St.,"UNL SUPPORT FACILITY (office, service)",0,50000,"Water pipe broke in Hardin Hall Building causing Approx. $50,000.00 in damage."
10000014,TRESPASSING,2010-01-03T13:46:00Z,Cleared By Arrest,2010-01-03T13:46:00Z,,Campus Recreation Center,841 N. 14th St.,SPORT FACILITIES,0,0,"Person cited for trespassing Rec Center,banned and barred from University and lodged for five warrants."
10000016,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-03T15:28:00Z,Cleared By Exception,2010-01-03T15:28:00Z,,Triangle Fraternity,519 N. 16th St.,OFF CAMPUS/GREEK HOUSING,0,100,"Broken water pipe in 519 N. 16th, Street, $100.00 damage."
10000018,TRAFFIC - SUSPENDED DRIVER,2010-01-03T19:44:00Z,Cleared By Arrest,2010-01-03T19:43:00Z,,N/A,"""O"" Street and N. 16th Street",STREET,0,0,Person cited for Driving Under Suspension at 19th an O Street.
10000020,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-04T04:57:00Z,Cleared By Exception,2010-01-04T04:57:00Z,,Warehouse 1,3600 East Campus Loop,GOVT. PARKING LOT (UNL),0,1800,Snow plow struck a vehicle.
10000034,LARCENY - OTHER OR FROM OPEN AREA,2010-01-06T11:39:00Z,Inactive,2010-01-03T00:00:00Z,2010-01-06T07:00:00Z,N/A,Innovation Campus,"STATE OWNED FACILITY (fairgrounds, armory, etc.)",500,0,Event management items possibly stolen from the area around the Devaney Complex.
10000035,LOST OR STOLEN ITEM,2010-01-06T15:27:00Z,Inactive,2010-01-05T13:00:00Z,2010-01-05T16:30:00Z,N/A,745 N. 14th St.,GOVT. PARKING LOT (UNL),0,0,Report of a lost or stolen set of keys.
10000039,TRAFFIC - SUSPENDED DRIVER,2010-01-07T15:22:00Z,Cleared By Arrest,2010-01-07T15:21:00Z,,N/A,"N. 25th Street and ""U"" Street",STREET,0,0,Non-student cited and released for Driving Under Suspension.
10000043,NARCOTICS - POSSESSION,2010-01-08T00:50:00Z,Cleared By Arrest,2010-01-08T00:50:00Z,,N/A,N. 34th Street and Holdrege Street,STREET,0,0,Two non UNL students cited for Possession of marijuana and paraphernalia after being contacted for a traffic infraction.
10000046,MEDICAL EMERGENCY,2010-01-08T10:41:00Z,Inactive,2010-01-08T10:41:00Z,,"1820 ""R"" St.",,"UNL SUPPORT FACILITY (office, service)",0,0,LFR and UNLPD dispatched to the north end of 1820 R street reference a UNL employee experiencing chest pain.  Employee was transported to Bryan/LGH West for further treatment.
10000051,LOST OR STOLEN ITEM,2010-01-08T17:44:00Z,Inactive,2010-01-08T13:30:00Z,,N/A,"N. 13th Street and ""R"" Street",SIDEWALK,2,0,Lost or stolen wallet at 13th and R St.
10000061,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-09T15:21:00Z,Cleared By Exception,2010-01-09T15:21:00Z,,The Village,1055 N. 16th St.,GOVT. PARKING LOT (UNL),0,0,UNL student struck a parked car while driving through the parking lot.
10000064,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-09T17:44:00Z,Cleared By Exception,2010-01-09T17:44:00Z,,International Affairs,420 University Terrace,"UNL SUPPORT FACILITY (office, service)",0,30000,Water Main break in the interior of the building due to a broken sprinkler pipe.
10000065,ALCOHOL - MINOR IN POSSESSION,2010-01-10T00:42:00Z,Cleared By Arrest,2010-01-10T00:42:00Z,,Schramm Hall,1130 N. 14th St.,UNL RESIDENCE HALL,0,0,"Four UNL students and a non student cited for MIP offenses (.174, .105, .006, .025 & .155 BAC)."
10000070,LARCENY - FROM MOTOR VEHICLE,2010-01-10T09:23:00Z,Inactive,2010-01-02T12:00:00Z,2010-01-10T09:22:00Z,N/A,2100 State Fair Park Drive,GOVT. PARKING LOT (UNL),19175,300,"A vehicle was broke into at Innovation Campus on the east side of Grandstand. Total Damage $300.00. Total loss $19,175.00"
10000071,LARCENY - FROM MOTOR VEHICLE,2010-01-10T09:23:00Z,Inactive,2010-01-02T12:00:00Z,2010-01-10T09:23:00Z,N/A,2100 State Fair Park Drive,GOVT. PARKING LOT (UNL),0,300,A vehicle was broke into at Innovation Campus on the east side of Grandstand. Total Damage $300.00
10000075,LOST OR STOLEN ITEM,2010-01-10T14:53:00Z,Inactive,,,Neihardt Residence Center,540 N. 16th St.,SIDEWALK,300,0,"Bike taken from bike rack west side of Neihardt Hall, $300.00 loss"
100000076,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-10T15:10:00Z,Cleared By Exception,2010-01-10T15:10:00Z,,Theta Xi,"1535 ""R"" St.",OFF CAMPUS/GREEK HOUSING,0,500,"Property damage to 1535 R Street caused by hole in roof and water seeping into house, $500.00 damage."
10000068,OUTSIDE - O.P.S. ACCIDENT,2010-01-11T07:39:00Z,Inactive,2010-01-09T17:37:00Z,,N/A,"N. 17th Street and ""R"" Street",STREET,0,0,An OPS for LPD involving a one car accident at 17th/R St.
10000084,ACCIDENTS - P.D. NOT REPORTABLE,2010-01-11T07:58:00Z,Cleared By Exception,2010-01-11T07:58:00Z,,N/A,E.Camp. Loop/38th-Fair,STREET,0,300,A fac/staff member was involved in a two vehicle non-injury accident. Not reportable.
10000085,LARCENY - STOLEN BIKE,2010-01-11T10:24:00Z,Inactive,2009-12-18T09:00:00Z,2010-01-11T09:30:00Z,Love Library South,"1248 ""R"" St.",LIBRARY,350,0,A UNL student reported her bike stolen from Love Library
10000086,DISTURBANCE - DOMESTIC,2010-01-11T10:58:00Z,Inactive,2010-01-01T00:45:00Z,2010-01-01T01:45:00Z,N/A,3080 Koepke Road,SINGLE FAMILY - off campus,0,0,A UNL student wanted to report an Dom. Asslt that occurred in Illinois. This is FYI in case offender comes to campus. Illinois is aware of incident
10000087,TRAFFIC - SUSPENDED DRIVER,2010-01-11T11:17:00Z,Cleared By Arrest,2010-01-11T11:17:00Z,,N/A,2100 State Fair Park Drive,STREET,0,0,A suspended driver was cited/released for DUS and No Proof of Insurance.
10000089,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2010-01-11T15:18:00Z,Inactive,2010-01-11T15:18:00Z,,N/A,,GOVT. PARKING LOT (UNL),0,60,"Two vehicle non-injury accident in drive by Richards Hall, $60.00 damage."
10000090,MEDICAL EMERGENCY,2010-01-11T15:21:00Z,Inactive,2010-01-11T15:21:00Z,2010-01-11T15:21:00Z,Lied Center,301 N. 12th St.,AUDITORIUM/THEATER,0,0,"Person at Lied Center having chest pains LFR responded, person transported by friend to hospital."
10000091,LOST OR STOLEN ITEM,2010-01-11T16:42:00Z,Inactive,,,N/A,,GOVT. LOT/FIELD (UNL),10,0,"Person lost item near the 17th and R street basketball courts, $10.00 loss."
10000094,NARCOTICS - POSSESSION,2010-01-11T23:33:00Z,Cleared By Arrest,2010-01-11T23:33:00Z,,The Courtyards,733 N. 17th St.,UNL RESIDENCE HALL,0,0,UNL student cited/released for possession of marijuana less than an ounce after being contacted in his dorm room.
10000099,ACCIDENTS - P.D. H&R NOT REPORTABLE,2010-01-12T11:59:00Z,Inactive,2010-01-12T07:45:00Z,2010-01-12T11:45:00Z,N/A,1033 N. 16th St.,GOVT. PARKING LOT (UNL),0,300,A UNL student involved in a non-injury non-reportable accident in the 14th/W parking lot
10000098,SS - CHECK WELFARE OF PERSON,2010-01-12T13:28:00Z,Inactive,2010-01-12T11:42:00Z,,Abel Hall,880 N. 17th St.,UNL RESIDENCE HALL,0,0,A check welfare of a UNL Student who resides in Abel Hall.
