Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
16000001,ALCOHOL - DWI,2016-01-01T01:56:00Z,Closed - Cleared By Arrest-Adult,2016-01-01T01:56:00Z,,N/A,"""T"" Street and N. 10th Street",STREET,0,0,"A UNL student was cited/released for DWI (BAC .105), and Speeding (6-10).  A non-UNL affiliate passenger was cited/released for MIP-C (BAC .176)."
16000002,ALCOHOL - DRUNK,2016-01-01T02:33:00Z,Closed - Non-Criminal Case,2016-01-01T02:33:00Z,,50/50 Building,"1801 ""R"" St.",MULTI-DWELLING (7 + UNITS) off campus,0,0,A UNL student was placed into civil protective custody and transported to The Bridge with a partial BAC of .180.
16000005,NARCOTICS - POSSESSION,2016-01-01T17:56:00Z,Closed - Cleared By Arrest-Juvenile,2016-01-01T17:56:00Z,,N/A,N. 14th Street and Butler Avenue,COMMERCIAL PARKING LOT,0,0,A juvenile non-UNL affiliate was referred to the County Attorney for charges.
16000006,TRAFFIC - SUSPENDED DRIVER,2016-01-01T18:58:00Z,Closed - Cleared By Arrest-Adult,2016-01-01T18:58:00Z,,N/A,N. 10th Street and Charleston Street,STREET,0,0,A non-UNL affiliate was cited/released for Violating a Traffic Signal and DUS.
16000007,NARCOTICS - POSSESSION,2016-01-01T20:47:00Z,Closed - Cleared By Arrest-Adult,2016-01-01T20:47:00Z,,N/A,Cornhusker Highway and State Fair Park Drive,STREET,0,0,A non-UNL affiliate was cited/released for DUS. Another non-UNL affiliate was cited/released for Possession of Marijuana Less Than an Ounce and Possession of Drug Paraphernalia.
16000009,NARCOTICS - POSSESSION,2016-01-01T23:35:00Z,Open,2016-01-01T23:35:00Z,,N/A,N. 10th Street and Charleston Street,STREET,0,0,"A non-UNL affiliate was cited/released for Possession of Marijuana (11.6 g) less than 1 Ounce, and Speeding (11-15)."
16000008,CHILD ABUSE/NEG - PHYSICAL ABUSE,2016-01-01T23:49:00Z,Closed - Cleared By Arrest-Adult,2016-01-01T23:49:00Z,,N/A,N. 33rd Street and Orchard Street,STREET,0,0,"A non-UNL affiliate was lodged at Corrections for an active warrant.  Cited/released for Child Neglect, DUS, Possession of Marijuana (1.3 g), and Possession of Drug Paraphernalia."
16000010,TRAFFIC - SUSPENDED DRIVER,2016-01-02T00:36:00Z,Closed - Cleared By Arrest-Adult,2016-01-02T00:36:00Z,,N/A,"Centennial Mall and ""P"" Street",STREET,0,0,A non-UNL affiliate was cited/released for DUS and Fail to Signal Turn.
16000012,NARCOTICS - POSSESSION,2016-01-02T15:40:00Z,Closed - Cleared By Arrest-Adult,2016-01-02T15:40:00Z,,N/A,N. 50th Street and Holdrege Street,STREET,0,0,"A non-UNL affiliate was cited/released for DUS and Possession of Drug Paraphernalia, however they were lodged in jail for an active warrant."
16000013,TRAFFIC - SUSPENDED DRIVER,2016-01-02T16:33:00Z,Closed - Cleared By Arrest-Adult,2016-01-02T16:33:00Z,,N/A,"""O"" Street and N. 17th Street",STREET,0,0,"A non-UNL affiliate was cited/released for DUS, No Insurance, Fictitious Plates and No Valid Registration."
