Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
14000001,ALCOHOL - DWI,2014-01-01T00:37:00Z,Cleared By Arrest,2014-01-01T00:37:00Z,,N/A,N. Antelope Valley Parkway and Salt Creek Roadway,STREET,0,100,"Ofc. conducted a traffic stop near Military Rd and N. Antelope Valley Parkway.  The driver was cited for DWI, having one headlight at night, leaving the scene of a property accident and was released to Detox.  BAC 0.145"
14000002,ALCOHOL - DWI,2014-01-01T02:29:00Z,Cleared By Arrest,2014-01-01T02:29:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Non student cited/Detox for DWI (.165)/Open Container and speeding.
14000003,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2014-01-02T05:33:00Z,Inactive,2014-01-02T05:30:00Z,,College of Dentistry,3975 Potter St.,UNL ACADEMIC BUILDING,0,200,UNL Landscape Services employee broke a window at the College of Dentistry while plowing snow.
14000004,TRESPASSING,2014-01-02T10:26:00Z,Inactive,2014-01-02T10:12:00Z,2014-01-02T10:17:00Z,Miller Hall,1675 Arbor Drive,"UNL SUPPORT FACILITY (office, service)",0,0,Victim observed male party in the women's restroom in Miller Hall.
14000009,OUTSIDE - O.P.S. OTHER,2014-01-02T19:58:00Z,Inactive,2014-01-02T19:49:00Z,2014-01-02T19:58:00Z,N/A,"555 ""R"" St.",SIDEWALK,0,0,UNL staff member coming to the UNL Husker basketball game experienced a medical episode outside the Pinnacle Bank Arena at one of the parking garages. Officers responded and attempted CPR. LFR transported and the party was declared deceased at Bryan. Lincoln Police was primary department for investigation
14000012,TRAFFIC - SUSPENDED DRIVER,2014-01-03T01:33:00Z,Cleared By Arrest,2014-01-03T01:03:00Z,,N/A,"""R"" Street and N. 14th Street",STREET,0,0,Non-UNL student contacted on a traffic stop and was discovered to be suspended. Driver cited for DUS and violate stop sign.
14000014,TRAFFIC - SUSPENDED DRIVER,2014-01-03T13:28:00Z,Cleared By Arrest,2014-01-03T13:28:00Z,,N/A,N. 17th Street and Antelope Valley Parkway,STREET,0,0,Non-student stopped for straddling lane lines.  Cited and jailed for Driving Under Suspension.
14000015,LOST OR STOLEN ITEM,2014-01-03T14:35:00Z,Unfounded,2013-12-06T09:31:00Z,,N/A,,UNKNOWN,100,0,A UNL student reported her passport lost or stolen in the mail.
14000017,TRAFFIC - SUSPENDED DRIVER,2014-01-03T22:16:00Z,Cleared By Arrest,2014-01-03T22:16:00Z,,N/A,"""T"" Street and N. 10th Street",STREET,0,0,Non-student contacted on a traffic stop.  Cited/Lodged for DUS.  Also lodged on outstanding warrants.
14000019,NARCOTICS - POSSESSION,2014-01-04T00:52:00Z,Cleared By Arrest,2014-01-04T00:52:00Z,,N/A,"N. 17th Street and ""R"" Street",STREET,0,0,"Non-student contacted on a traffic stop.  Cited/released for Poss Marijuana < 1 oz, Poss Drug Paraphernalia and Speeding."
14000020,ALCOHOL - DRUNK,2014-01-04T02:42:00Z,Cleared By Exception,2014-01-04T02:42:00Z,,N/A,"""T"" Street and N. 10th Street",GOVT. PARKING LOT (UNL),0,0,Student contacted for intoxication.  Transported to Detox (.245 BrAC).
14000021,TRAFFIC - SUSPENDED DRIVER,2014-01-04T09:23:00Z,Cleared By Arrest,2014-01-04T09:23:00Z,,N/A,N. 17th Street and Antelope Valley Parkway,STREET,0,0,Non-student contacted on a traffic stop.  Cited and lodged for Driving Under Suspension and lodged on an active LPD warrant.
14000023,TRAFFIC - SUSPENDED DRIVER,2014-01-04T14:02:00Z,Cleared By Arrest,2014-01-04T14:02:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Non-student cited/released for Driving Under Suspension.
14000024,ALCOHOL - DRUNK,2014-01-04T15:42:00Z,Cleared By Exception,2014-01-04T15:42:00Z,,N/A,"1407 ""Q"" St.",RESTAURANT,0,0,Non-student was contacted due to a high level of intoxication.  Transported to detox (.288 BAC).
14000025,TRAFFIC - SUSPENDED DRIVER,2014-01-04T16:11:00Z,Cleared By Arrest,2014-01-04T16:11:00Z,,N/A,Antelope Valley Parkway and Salt Creek Roadway,STREET,0,0,Non-student contacted on traffic stop.  Cited and lodged for Driving Under Suspension and an active LPD warrant.
