Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
11000001,NARCOTICS - POSSESSION,2011-01-01T00:10:00Z,Cleared By Arrest,2011-01-01T00:10:00Z,,515 N 19th Parking Lot Vine to,515 N. 19th St.,GOVT. PARKING LOT (UNL),0,0,UNL student cited and released for Poss of Marijuana < 1 oz and Poss of Drug Paraphernalia after a CSO reported suspicious drug-related activity from a vehicle.  1.2 g of marijuana seized.
11000011,NARCOTICS - POSSESSION,2011-01-01T23:16:00Z,Cleared By Arrest,2011-01-01T23:16:00Z,,N/A,N. 10th Street and Charleston Street,STREET,0,0,Traffic Stop.  Vehicle stopped for a headlight out.  Upon contact Officer smelled the strong odor of burnt marijuana.  Driver cited/released for Possession of Drug Paraphernalia after a search yielded a pipe with burnt marijuana residue.
11000013,ALCOHOL - MINOR IN POSSESSION,2011-01-02T00:38:00Z,Cleared By Arrest,2011-01-02T00:38:00Z,,N/A,N. 17th Street and Antelope Valley Parkway,STREET,0,0,Three persons cited for MIPC after being stopped for no headlights at N. Antelope valley parkway and N. 17rh Street.
11000019,TRAFFIC - SUSPENDED DRIVER,2011-01-02T23:24:00Z,Cleared By Arrest,2011-01-02T23:24:00Z,,N/A,N. 17th Street and Vine Street,STREET,0,0,Non-student cited and lodged in jail for Driving Under Suspension after being stopped for speeding.
11000020,NARCOTICS - POSSESSION,2011-01-03T04:46:00Z,Cleared By Arrest,2011-01-03T04:46:00Z,,N/A,N. 10th Street and Charleston Street,STREET,0,0,"Non-student stopped for speeding.  Officer smelled burnt marijuana from within the vehicle and upon searching located burnt marijuana cigarettes, a pipe, and .6 g of marijuana.  Cited and released for Speeding, Poss of Marijuana < 1 oz, and Poss of Drug Paraphernalia."
11000022,MEDICAL EMERGENCY,2011-01-03T10:34:00Z,Inactive,2011-01-03T10:34:00Z,,Campus Recreation Center,841 N. 14th St.,SPORT FACILITIES,0,0,UNL affiliated female disoriented in need of medical attention at the Rec Center. Transported to the hospital by LFR.
11000024,FRAUD - CREDIT CARDS/ATM/BANK CARD,2011-01-03T14:25:00Z,Inactive,2010-12-21T00:00:00Z,,N/A,Cyberspace,INTERNET/CYBERSPACE,0,0,"Person received items they did not order on their credit card, unknown who may have used their card."
11000027,FIRE (WORKING) - ALARM,2011-01-03T20:51:00Z,Cleared By Exception,2011-01-03T20:51:00Z,,Memorial Stadium,740 Stadium Drive,SPORT FACILITIES,0,0,"Fire alarm at Memorial Stadium caused by broken water pipe, no damage at this time, LFR on scene."
11000030,LARCENY - MOTOR VEH. ACCESSORIES,2011-01-04T10:57:00Z,Inactive,2010-12-03T17:00:00Z,2011-01-04T10:57:00Z,Hardin Hall,1600 N. 33rd St.,GOVT. PARKING LOT (UNL),400,500,Theft of a catalytic converter from a state owned vehicle.
11000032,DISTURBANCE - OTHER,2011-01-04T16:40:00Z,Inactive,,,Burnett Hall,"1220 ""T"" St.",UNL ACADEMIC BUILDING,0,0,Person received a letter from another person which disturbed them.
