Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
8000002,ALCOHOL - DWI,2008-01-01T00:53:00Z,Cleared By Arrest,2008-01-01T00:53:00Z,2008-01-01T00:53:00Z,N/A,N. 17th Street and Vine Street,STREET,0,0,"Student stopped on traffic violation found to be DWI .084 BAC. Cited for DWI, open container and traffic offenses."
8000003,ALCOHOL - DRUNK,2008-01-01T01:06:00Z,Inactive,2008-01-01T01:46:00Z,,Selleck Quad,,UNL RESIDENCE HALL,0,0,Student unrully with staff and police. Taken to detox tested .158 BAC.
8000009,MISC - OTHER,2008-01-02T01:09:00Z,Unfounded,2008-01-02T01:09:00Z,,N/A,N. 34th Street and Holdrege Street,STREET,0,0,Nude male person waved down an officer after he said he fled from a girls apartment after her ex-boyfriend showed up to confront the two.
8000014,TRAFFIC - SUSPENDED DRIVER,2008-01-03T00:48:00Z,Cleared By Arrest,2008-01-03T00:48:00Z,,N/A,N. 17th Street and N. Antelope Valley Parkway,STREET,0,0,Traffic Stop.  Non student cited/lodged for DUS/Open Container/Violate Stop Sign.  Passenger lodged on outstanding LSO Warrant.
8000017,ALCOHOL - DWI,2008-01-04T00:11:00Z,Cleared By Arrest,2008-01-04T00:11:00Z,,N/A,"N. 14th Street and ""P"" Street",STREET,0,0,Traffic Stop.  Driver cited and admitted into Detox for DWI/Improper Turn. (.124 BAC)
8000023,LARCENY - STOLEN BIKE,2008-01-04T10:51:00Z,Inactive,2007-12-22T10:00:00Z,2008-01-03T23:00:00Z,Architecture Hall,402 Stadium Drive,UNL ACADEMIC BUILDING,315,0,Black Trek bicycle ($300) taken from the bike racks sometime since Decemeber 22nd.
8000024,OUTSIDE - O.P.S. OTHER,2008-01-04T12:23:00Z,Cleared By Exception,2008-01-04T12:23:00Z,,Barkley Center,4075 East Campus Loop,SIDEWALK,0,0,UNLPD officer apprehended a suspect on East Campus who LPD was looking for in reference to an auto theft.
8000027,TRESPASSING,2008-01-04T14:56:00Z,Cleared By Exception,2008-01-04T14:56:00Z,,Love Library North,"1300 ""R"" St.",LIBRARY,0,0,Male transient viewing pornography on public computers. Policy letter served.
8000031,ALCOHOL - DRUNK,2008-01-04T20:19:00Z,Cleared By Exception,2008-01-04T15:01:00Z,,N/A,"721 ""K"" St.","TREATMENT/DETENTION FACILITY (detox, etc.)",0,0,Female admitted into Detox per her request.
8000037,FALSE INFORMATION - GIVEN TO OFC.,2008-01-05T13:58:00Z,Cleared By Arrest,2008-01-05T13:58:00Z,,N/A,17 Street/R-Vine Street,STREET,0,0,"Traffic stop yielded a Suspended driver, Marijuana, False Information and Warrant. Lodged."
8000042,ALCOHOL - MINOR IN POSSESSION,2008-01-06T00:11:00Z,Cleared By Arrest,2008-01-06T00:11:00Z,,N/A,N. 19th Street and Vine Street,STREET,0,0,Traffic Stop.  Minor female cited/released to parent for MIP/Open Container.
8000044,ALCOHOL - DWI,2008-01-06T01:22:00Z,Cleared By Arrest,2008-01-06T01:22:00Z,,N/A,"""R"" Street and N. 14th Street",STREET,0,0,Traffic Stop.  Non student cited/admitted into Detox for DWI/Violate Stop Sign.
8000053,ALCOHOL - DWI,2008-01-07T01:18:00Z,Cleared By Arrest,2008-01-07T01:18:00Z,,N/A,"N. 17th Street and ""R"" Street",STREET,0,0,Non Student stopped on traffic violation found to be DWI. .183 BAC.
8000054,TRESPASSING,2008-01-07T04:23:00Z,Inactive,2008-01-07T04:23:00Z,,Stadium Drive Parking Garage,625 Stadium Drive,"UNL SUPPORT FACILITY (office, service)",0,0,Non Student contacted sleeping in the Bathroom of the Stadium Parking Garage. He was issued a trespassing policy letter.
8000059,DISTURBANCE - OTHER,2008-01-07T12:37:00Z,Inactive,2008-01-07T12:37:00Z,,Love Library South,"1248 ""R"" St.",LIBRARY,0,0,Non student viewing pornographic web sites.
8000060,LOST OR STOLEN ITEM,2008-01-07T12:42:00Z,Cleared By Exception,2008-01-05T20:00:00Z,2008-01-06T00:00:00Z,N/A,,UNKNOWN,96,0,Person reports losing or having their wallet stolen somewhere in Lincoln.
8000066,TRESPASSING,2008-01-07T22:52:00Z,Cleared By Arrest,2008-01-07T22:53:00Z,2008-01-07T22:53:00Z,Ruth Leverton Hall,1700 N. 35th St.,"UNL SUPPORT FACILITY (office, service)",0,0,Two Non Students cited for trespassing after being observed skateboarding on East Campus.
8000068,MEDICAL EMERGENCY,2008-01-08T01:47:00Z,Inactive,2008-01-08T01:47:00Z,,N/A,East Campus Loop and N. 37th Street,GOVT. PARKING LOT (UNL),0,0,Non Student slipped on ice in the lot located east of the East Campus Power plant injuring his right ankle. transported to bryan LGH West. .221 BAC.
8000069,VANDALISM - OTHER,2008-01-08T03:32:00Z,Cleared By Arrest,2008-01-08T03:30:00Z,2008-01-08T03:32:00Z,Alexander Building,"1410 ""Q"" St.",GOVT. PARKING LOT (UNL),0,300,A custodians vehicle was damaged when struck by beer bottles while parked on the north side of the Alexander Building.
8000075,TRAFFIC - SUSPENDED DRIVER,2008-01-08T13:09:00Z,Cleared By Arrest,2008-01-08T13:09:00Z,2008-01-08T13:09:00Z,N/A,N. 17th Street and Vine Street,STREET,0,0,"Party stopped on 17th Street R to Vine for speeding, found to be suspended."
8000080,TRESPASSING,2008-01-08T19:13:00Z,Cleared By Arrest,2008-01-08T19:00:00Z,2008-01-08T19:13:00Z,N/A,3248 Starr St.,OFF CAMPUS/GREEK HOUSING,0,0,"Four non students contacted after trespassing at Alpha Gamma Nu Fraternity, all juveniles referred to the city Attorneys  Office."
