Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
7000003,VANDALISM - OTHER,2007-01-01T08:00:00Z,Inactive,2007-01-01T01:32:00Z,,Memorial Stadium,740 Stadium Drive,SPORT FACILITIES,0,50,Damage was caused to a card reader box on the west side of the stadium by an unknown person.
7000007,MEDICAL EMERGENCY,2007-01-02T06:50:00Z,Cleared By Exception,2007-01-02T06:50:00Z,,"1820 ""R"" St.",,SIDEWALK,0,0,Party slipped and fell on the ice in parking lot at 1820 R Street.
7000010,VANDALISM - BY GRAFFITI,2007-01-02T09:14:00Z,Inactive,2006-12-29T17:00:00Z,2007-01-02T07:30:00Z,UNL Press Building,401 N. 9th St.,"UNL SUPPORT FACILITY (office, service)",0,50,Vandalism by graffiti on a section of the west wall.
7000019,MEDICAL EMERGENCY,2007-01-03T21:42:00Z,Inactive,2007-01-03T21:00:00Z,2007-01-03T21:30:00Z,Bob Devaney Sports Center,,STREET,0,0,pty fell from truck picking up cones after basket ball game.
7000021,TRAFFIC - SUSPENDED DRIVER,2007-01-04T00:01:00Z,Cleared By Arrest,2007-01-04T00:01:00Z,,N/A,"N. 28th Street and ""Y"" Street",STREET,0,0,"Pty stopped on traffic violation, found to be suspended cited for DUS and false statement made to a police officer."
7000022,MEDICAL EMERGENCY,2007-01-04T02:21:00Z,Inactive,2007-01-04T02:21:00Z,2007-01-04T02:21:00Z,Nelle Cochrane Woods Art Bldg.,"1140 ""R"" St.",UNL ACADEMIC BUILDING,0,0,"Custodian fell while moping floor, injuring his right knee."
7000026,TRAFFIC - OTHER,2007-01-04T09:41:00Z,Cleared By Arrest,2007-01-04T09:41:00Z,,N/A,"N. 16th Street and ""S"" Street",STREET,0,0,Traffic stop resulting in an open title violation as well as numerous traffic offenses.
7000027,AUTO THEFT,2007-01-04T11:02:00Z,Unfounded,2006-12-22T07:36:00Z,2006-12-22T12:00:00Z,Facilities Management Shops,942 N. 22nd St.,GOVT. PARKING LOT (UNL),0,0,State truck found where it had been left. Unfounded auto theft case.
7000028,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",2007-01-04T14:36:00Z,Inactive,2007-01-04T13:41:00Z,,Manter Hall Life Siences,"1101 ""T"" St.",GOVT. PARKING LOT (UNL),0,1500,Parked vehicle rolled out of parking stall and struck another parked vehicle.
7000031,FALSE INFORMATION - GIVEN TO OFC.,2007-01-04T18:04:00Z,Cleared By Arrest,2007-01-04T18:04:00Z,2007-01-04T18:04:00Z,N/A,Antelope Creek Road and N. 17th Street,STREET,0,0,"Traffic stop that resulted in the party being cited for the following; False information to a Peace Officer, no valid registration, no proof of insurance, no operator's license and expired in transit decals."
