Case #,Incident Code,Report Time,Case Status,Start Occurred,End Occurred,Building,Location 1,Location 2,Stolen,Damaged,Summary
13000004,LITTERING,2013-01-01T02:18:00Z,Cleared By Arrest,2013-01-01T02:18:00Z,,Andersen Hall,200 Centennial Mall N.,GOVT. PARKING LOT (UNL),0,0,A non-student was cited/released for Littering.
13000005,ALCOHOL - DRUNK,2013-01-01T02:39:00Z,Cleared By Exception,2013-01-01T02:39:00Z,,N/A,"N. 16th Street and ""Q"" Street",ALLEY,0,0,Non-student taken to detox after she fell and sat down in an alley. Refused to give a breath sample.
13000007,ALCOHOL - MINOR IN POSSESSION,2013-01-01T04:43:00Z,Cleared By Arrest,2013-01-01T04:43:00Z,,The Courtyards,733 N. 17th St.,UNL RESIDENCE HALL,0,0,Non-student contacted for drinking in a dorm room. Cited/released for MIP-C (.036 BAC).
13000009,FRAUD - CREDIT CARDS/ATM/BANK CARD,2013-01-01T18:47:00Z,Cleared By Exception,2012-12-26T00:00:00Z,2012-12-26T23:59:00Z,Union-City,"1400 ""R"" St.","UNL SUPPORT FACILITY (office, service)",0,0,"unauthorized use of credit card at the City Union Book Store, $167 loss."
13000012,LARCENY - FROM BUILDING,2013-01-02T18:20:00Z,Cleared By Arrest,2013-01-02T15:00:00Z,2013-01-02T17:00:00Z,Campus Recreation Center,841 N. 14th St.,"UNL SUPPORT FACILITY (office, service)",40,0,Report of a blue cloth purse with content stolen from the women's locker room.
13000014,ACCIDENTS - P.D. H&R NOT REPORTABLE,2013-01-03T12:47:00Z,Cleared By Exception,2013-01-03T08:00:00Z,2013-01-03T12:45:00Z,N/A,1431 Vine St.,GOVT. PARKING LOT (UNL),0,1000,Report a Hit and Run accident of a parked car.
13000015,FIRE (WORKING) - ALARM,2013-01-03T17:54:00Z,Inactive,2013-01-03T17:54:00Z,,Fedde Hall,1601 N. 35th St.,UNL RESIDENCE HALL,0,2500,Fire in dorm room.  No injuries. Damage estimated at $2500.00.
13000019,MEDICAL EMERGENCY,2013-01-04T08:42:00Z,Cleared By Exception,2013-01-04T08:42:00Z,,Canfield South,501 N. 14th St.,"UNL SUPPORT FACILITY (office, service)",0,0,A female was transported to Bryan LGH East for further treatment following a diabetic reaction.
13000025,DISTURBANCE - OTHER,2013-01-04T13:00:00Z,Inactive,2013-01-02T05:45:00Z,2013-01-04T05:45:00Z,Abel Hall,880 N. 17th St.,UNL RESIDENCE HALL,0,0,Report of a time clock being unplugged numerous times during the course of a three day period.
13000020,TRAFFIC - SUSPENDED DRIVER,2013-01-04T13:11:00Z,Cleared By Arrest,2013-01-04T13:11:00Z,,N/A,"N. 17th Street and ""R"" Street",STREET,0,0,A non-student was cited/released for DUS and speeding. Passenger was lodged at Lancaster County Corrections on a warrant.
