Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
14000001,ALCOHOL - DWI,1/1/14 0:37,Cleared by Arrest,1/1/14 0:37,,N/A,N ANTELOPE VALLEY PKWY & Salt Creek RDWY (STREET),$0.00 ,$100.00 ,"Ofc. conducted a traffic stop near Military Rd and N. Antelope Valley Parkway.  The driver was cited for DWI, having one headlight at night, leaving the scene of a property accident and was released to Detox.  BAC 0.145"
14000002,ALCOHOL - DWI,1/1/14 2:29,Cleared by Arrest,1/1/14 2:29,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Non student cited/Detox for DWI (.165)/Open Container and speeding.
14000003,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/2/14 5:33,Inactive,1/2/14 5:30,,College of Dentistry,3975 Potter St (UNL ACADEMIC BUILDING),$0.00 ,$200.00 ,UNL Landscape Services employee broke a window at the College of Dentistry while plowing snow.
14000004,TRESPASSING,1/2/14 10:26,Inactive,1/2/14 10:12,1/2/14 10:17,Miller Hall,"1675 Arbor Dr (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,Victim observed male party in the women's restroom in Miller Hall.
14000009,OUTSIDE - O.P.S. OTHER,1/2/14 19:58,Inactive,1/2/14 19:49,1/2/14 19:58,N/A,555 R St (SIDEWALK),$0.00 ,$0.00 ,UNL staff member coming to the UNL Husker basketball game experienced a medical episode outside the Pinnacle Bank Arena at one of the parking garages. Officers responded and attempted CPR. LFR transported and the party was declared deceased at Bryan. Lincoln Police was primary department for investigation
14000012,TRAFFIC - SUSPENDED DRIVER,1/3/14 1:33,Cleared by Arrest,1/3/14 1:03,,N/A,N 14TH ST & R ST (STREET),$0.00 ,$0.00 ,Non-UNL student contacted on a traffic stop and was discovered to be suspended. Driver cited for DUS and violate stop sign.
14000014,TRAFFIC - SUSPENDED DRIVER,1/3/14 13:28,Cleared by Arrest,1/3/14 13:28,,N/A,ANTELOPE VALLEY PARKWAY & N 17TH ST (STREET),$0.00 ,$0.00 ,Non-student stopped for straddling lane lines.  Cited and jailed for Driving Under Suspension.
14000015,LOST OR STOLEN ITEM,1/3/14 14:35,Unfounded,12/6/13 9:31,,N/A,(UNKNOWN),$100.00 ,$0.00 ,A UNL student reported her passport lost or stolen in the mail.
14000017,TRAFFIC - SUSPENDED DRIVER,1/3/14 22:16,Cleared by Arrest,1/3/14 22:16,,N/A,N 10TH ST & T ST (STREET),$0.00 ,$0.00 ,Non-student contacted on a traffic stop.  Cited/Lodged for DUS.  Also lodged on outstanding warrants.
14000019,NARCOTICS - POSSESSION,1/4/14 0:52,Cleared by Arrest,1/4/14 0:52,,N/A,N 17TH ST & R ST (STREET),$0.00 ,$0.00 ,"Non-student contacted on a traffic stop.  Cited/released for Poss Marijuana < 1 oz, Poss Drug Paraphernalia and Speeding."
14000020,ALCOHOL - DRUNK,1/4/14 2:42,Cleared by Exception,1/4/14 2:42,,N/A,T ST & N 10TH ST (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,Student contacted for intoxication.  Transported to Detox (.245 BrAC).
14000021,TRAFFIC - SUSPENDED DRIVER,1/4/14 9:23,Cleared by Arrest,1/4/14 9:23,,N/A,ANTELOPE VALLEY PARKWAY & N 17TH ST (STREET),$0.00 ,$0.00 ,Non-student contacted on a traffic stop.  Cited and lodged for Driving Under Suspension and lodged on an active LPD warrant.
14000023,TRAFFIC - SUSPENDED DRIVER,1/4/14 14:02,Cleared by Arrest,1/4/14 14:02,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Non-student cited/released for Driving Under Suspension.
14000024,ALCOHOL - DRUNK,1/4/14 15:42,Cleared by Exception,1/4/14 15:42,,N/A,1407 Q Street (RESTAURANT),$0.00 ,$0.00 ,Non-student was contacted due to a high level of intoxication.  Transported to detox (.288 BAC).
14000025,TRAFFIC - SUSPENDED DRIVER,1/4/14 16:11,Cleared by Arrest,1/4/14 16:11,,N/A,ANTELOPE VALLEY PARKWAY & Salt Creek RDWY (STREET),$0.00 ,$0.00 ,Non-student contacted on traffic stop.  Cited and lodged for Driving Under Suspension and an active LPD warrant.
14000029,ALCOHOL - DRUNK,1/5/14 1:47,Cleared by Exception,1/5/14 1:47,,N/A,N 17TH ST & Y ST (SIDEWALK),$0.00 ,$0.00 ,Student contacted for intoxication.  Transported to Detox (.180 BrAC).
14000030,TRAFFIC - SUSPENDED DRIVER,1/5/14 2:10,Cleared by Arrest,1/5/14 2:10,,N/A,N 17TH ST & Y ST (STREET),$0.00 ,$0.00 ,Student contacted on a traffic stop.  Cited/released for DUS.
14000031,OUTSIDE - O.P.S. OTHER,1/5/14 2:24,Cleared by Exception,1/5/14 2:24,,N/A,1329 North 26th Street (ALLEY),$0.00 ,$0.00 ,UNLPD officer located an occupied vehicle wanted for an Lincoln Police weapons violation call.
14000032,TRAFFIC - SUSPENDED DRIVER,1/5/14 10:09,Cleared by Arrest,1/5/14 10:09,,N/A,Y ST & N 27TH ST (STREET),$0.00 ,$0.00 ,Non-student cited/released for Driving Under Suspension.
14000033,WEAPONS - CONCEALED,1/5/14 10:15,Cleared by Arrest,1/5/14 10:15,,N/A,N 27TH ST & W ST (STREET),$0.00 ,$0.00 ,Non-student contacted on a traffic stop.  Cited/released for Carrying a Concealed Weapon (knife with iron knuckles).
14000034,TRAFFIC - SUSPENDED DRIVER,1/5/14 12:35,Cleared by Arrest,1/5/14 12:35,,N/A,N 16TH ST & S ST (STREET),$0.00 ,$0.00 ,Non-student cited/released for Driving Under Suspension.
14000035,TRAFFIC - IMPROPER REGISTRATION,1/5/14 12:37,Cleared by Arrest,1/5/14 12:37,,N/A,Y ST & N 27TH ST (STREET),$0.00 ,$0.00 ,Non-student cited/released for Fictitious Plates and No Valid Registration.
14000038,FALSE INFORMATION - GIVEN TO OFC.,1/5/14 14:40,Cleared by Arrest,1/5/14 14:40,,N/A,N 17TH ST & X ST (STREET),$0.00 ,$0.00 ,Non-student passenger in a vehicle gave a false name to an officer.  Lodged in jail for an LPD warrant and False Information.
14000037,LOST OR STOLEN ITEM,1/5/14 16:21,Inactive,12/19/13 0:00,12/19/13 23:59,N/A,(UNKNOWN),$5.00 ,$0.00 ,UNL student lost his car key.
14000042,LARCENY - OTHER OR FROM OPEN AREA,1/6/14 0:55,Cleared by Arrest,1/6/14 0:55,,N/A,STATE FAIR PARK DR (GOV'T LOT/FIELD (UNL)),$0.00 ,$0.00 ,3 non-students contacted for suspicious behavior.  2 cited/released for MIP.  1 cited/lodged for MIP and Theft.
14000044,LOST OR STOLEN ITEM,1/6/14 15:52,Inactive,12/20/13 15:25,12/20/13 15:30,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,Person lost their passport in the City Union.
14000060,NARCOTICS - POSSESSION,1/6/14 23:44,Cleared by Arrest,1/6/14 23:44,,Robert E. Knoll Residence Center,440 N 17th Street (UNL RESIDENCE HALL),$0.00 ,$0.00 ,2 students contacted on a narcotics complaint.  1 student cited/released for Poss Drug Paraphernalia.
14000069,MEDICAL EMERGENCY,1/7/14 4:11,Cleared by Exception,1/7/14 4:11,,Robert E. Knoll Residence Center,440 N 17th Street (UNL APARTMENT),$0.00 ,$0.00 ,Student reports a medical emergency.  Transported to the hospital. Not life threatening.
14000075,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/7/14 9:34,Inactive,1/6/14 7:00,1/6/14 15:30,Morrison Life Science Center,4240 Fair Street (GOV'T PARKING LOT (UNL)),$0.00 ,$400.00 ,Belated report of damage caused to a vehicle by an unknown second vehicle.
