Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
15000002,ALCOHOL - DRUNK,1/1/15 2:18,Cleared by Exception,1/1/15 2:18,,N/A,N 16TH ST & S ST (SIDEWALK),$0.00 ,$0.00 ,A non-UNL affiliate was placed into civil protective custody and transported to Detox. BrAC 0.222.
15000004,FIRE - FALSE ALARM,1/1/15 8:17,Cleared by Exception,1/1/15 8:17,,Biochemistry Hall,1705 North 38th St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,Malfunctioning steam pipe caused the Alarm in the building to go off.  Turned over to UNL maintenance.
15000011,WEAPONS _ OTHER,1/1/15 18:17,Cleared by Arrest,1/1/15 18:17,,N/A,N 10TH ST & T ST (STREET),$0.00 ,$0.00 ,A non-UNL affiliate was contacted on a traffic stop and subsequently cited and released for One headlight at night and Possess loaded shotgun on highway.
15000013,TRAFFIC - SUSPENDED DRIVER,1/2/15 0:23,Cleared by Arrest,1/2/15 0:23,,N/A,N 17TH ST & R ST (STREET),$0.00 ,$0.00 ,"A non-UNL affiliate was cited and released for Fictitious Plates, Open Title, No Valid Registration, DUS, and No Proof of Insurance. Vehicle was towed to Capitol Towing."
15000014,FIRE - FALSE ALARM,1/2/15 5:27,Cleared by Exception,1/2/15 5:27,,Theta Xi,1535 R St (OFF CAMPUS/GREEK HOUSING),$0.00 ,$0.00 ,Officers responded to a general fire alarm at Theta Xi which was found to be caused by a pipe that had broken.
15000018,OUTSIDE - O.P.S. OTHER,1/2/15 8:14,Cleared by Exception,1/2/15 12:54,,17 & R Parking Garage,300 North 17th St (GOV'T PARKING GARAGE (UNL)),$0.00 ,$0.00 ,UNLPD Ofc. assisted LPD with UNL video footage from a robbery which just occurred near East Campus.
15000031,ALCOHOL - MINOR IN POSSESSION,1/3/15 0:41,Cleared by Arrest,1/3/15 0:41,,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,"Two male UNL-Students were contacted for urinating on the City Campus Student Union.  Both showed signs of consuming alcoholic beverages and one tested a .238 BAC and the other a .209 BAC.  One male was issued a citation for minor in possession and littering while the second was issued a citation for littering.  Both parties were placed into civil protective custody, transported to The Bridge, and released to the care of the staff."
15000032,TRAFFIC - SUSPENDED DRIVER,1/3/15 0:52,Cleared by Arrest,1/3/15 0:52,,N/A,N 33RD ST & HOLDREGE ST (STREET),$0.00 ,$0.00 ,A non-UNL affiliate was contacted on a traffic stop.  The party was lodged for driving under suspension and cited for no valid registration.
15000043,FIRE (WORKING) - NO ALARM,1/3/15 12:05,Cleared by Exception,1/3/15 12:05,,N/A,N 14TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Contractor improperly disposed of flammable material which later began to smolder. Lincoln Fire and Rescue was dispatched and extinguished the fire.
15000052,ALCOHOL - MINOR IN POSSESSION,1/3/15 20:23,Cleared by Arrest,1/3/15 20:23,,Innovation Campus,"1800 State Fair Park Drive (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,"Two females (one UNL Student) were contacted inside of the Ice Box for consuming alcoholic beverages while being under the age of 21.  The UNL student was issued a citation or minor in possession of alcohol by consumption and released.  The non-UNL student was placed into civil protective custody, transported to The Bridge, issued a citation for minor in possession of alcohol, and released to the care of the staff with a .206 BAC."
15000057,FIRE - FALSE ALARM,1/4/15 0:29,Inactive,1/4/15 0:29,,Innovation Campus,"1800 State Fair Park Drive (Ice Box) (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,Officers and LFR responded to the Ice Box in reference to a general Fire Alarm.  The alarm was determined to be accidentally activated by the cleaning crew and it was reset by LFR personnel.
15000109,TRAFFIC - SUSPENDED DRIVER,1/5/15 3:06,Cleared by Arrest,1/5/15 23:59,,N/A,N 33RD ST & HOLDREGE ST (STREET),$0.00 ,$0.00 ,A non-student was contacted on a traffic stop.  The male was cited and lodged for DUS.
15000106,TELEPHONE - THREATENING CALLS,1/5/15 17:39,Inactive,12/27/14 19:14,12/27/14 20:51,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,Offensive voicemails left on a staff member's phone line. Suspect identified as living out of state.
15000110,ALCOHOL - DWI,1/6/15 1:23,Cleared by Arrest,1/6/15 1:23,,N/A,N 16TH ST & Q ST (STREET),$0.00 ,$0.00 ,"2 non-students were contacted on a traffic stop.  1 was cited/lodged for Refuse a Chemical Test, DUI, Refuse PBT, Open Container and Disobey a Traffic Control Device.  1 was cited and released to The Bridge for Open Container (.305 BrAC)."
15000113,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/6/15 6:27,Inactive,1/6/15 6:27,,Memorial Stadium,"740 Stadium Dr. (UNL SUPPORT FACILITY (office, service))",$0.00 ,$500.00 ,Damage to a window at Memorial Stadium.  Damage appears to be done from the cold weather.
15000119,ALCOHOL - DWI,1/7/15 2:13,Cleared by Arrest,1/7/15 2:13,1/7/15 3:50,N/A,O Street/13th-Sun Valley (STREET),$0.00 ,$0.00 ,A non-student was contacted on a traffic stop for reckless driving.  The male was cited and released for DUI (.119 BrAC) and Reckless Driving.
15000130,TRAFFIC - SUSPENDED DRIVER,1/8/15 3:14,Cleared by Arrest,1/8/15 3:14,1/8/15 3:40,N/A,33RD ST & HOLDREGE ST (STREET),$0.00 ,$0.00 ,Traffic stop resulted in the driver being cited and released for DUS.
15000127,MISSING PERSON - ADULT,1/8/15 22:22,Cleared by Exception,1/4/15 12:00,,Phi Kappa Theta,303 North 17th (OFF CAMPUS/GREEK HOUSING),$0.00 ,$0.00 ,Report of a missing adult.  No suspicious circumstances regarding the missing person.
15000134,TRAFFIC - SUSPENDED DRIVER,1/8/15 23:57,Cleared by Arrest,1/8/15 23:57,,N/A,N 33RD ST & HOLDREGE ST (STREET),$0.00 ,$0.00 ,Non-UNL student contacted on a traffic stop and was suspended. Driver was cited and lodged for DUS.
15000136,SUSPICIOUS PERSON,1/9/15 3:05,Cleared by Arrest,1/9/15 3:05,,Abel Hall,880 North 17th St (SIDEWALK),$0.00 ,$0.00 ,Non-UNL affiliate was contacted after attempting to enter several UNL buildings. Upon contact party ran from officers and a foot pursuit ensued. Party was captured and lodged in jail for Obstructing a Peace Officer.
15000149,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/9/15 13:49,Inactive,,,Delta Delta Delta,1601 R St. (OFF CAMPUS/GREEK HOUSING),$0.00 ,$750.00 ,Report of minor property damage to residence believed to have been caused by a dumpster being pushed into the building by undetermined means.
15000150,TRAFFIC - OTHER,1/9/15 15:07,Cleared by Arrest,1/9/15 15:07,,N/A,N 27TH ST & Y ST (STREET),$0.00 ,$0.00 ,Non student stopped for fictitious plates.  Driver was found to have no driver's license out of the State of Nebraska.  Cited/released for Fictitious Plates and No License.
15000152,NARCOTICS - POSSESSION,1/9/15 22:26,Cleared by Arrest,1/9/15 22:26,,Smith Hall,1120 North 14th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,One UNL student and one non-student contacted in a dorm room reference a narcotics complaint. UNL student turned over a marijuana cigarette and was cited for possession of marijuana less than an ounce and possession of paraphernalia.
15000154,TRAFFIC - SUSPENDED DRIVER,1/10/15 1:49,Cleared by Arrest,1/10/15 1:49,,N/A,N 13TH ST & P ST (STREET),$0.00 ,$0.00 ,Non-UNL affiliate was contacted on a traffic stop and found to have a suspended license. Party was cited and released for DUS
