Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
12000001,ALCOHOL - MINOR IN POSSESSION,1/1/12 0:50,Cleared by Arrest,1/1/12 0:50,,N/A,N ANTELOPE VALLEY PKWY & N 17TH ST (STREET),$0.00 ,$0.00 ,"Ofc. conducted a traffic stop near 17th and Vine.  The driver and six passengers were UNL students.  All were cited for MIP, open container and were released."
12000003,ALCOHOL - DWI,1/1/12 2:22,Cleared by Arrest,1/1/12 2:22,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Ofc. conducted a traffic stop near 17th and Vine.  Driver was cited for DWI and improper registration.  BAC 0.107.
12000010,ALCOHOL - DWI,1/3/12 2:15,Cleared by Arrest,1/3/12 2:15,,N/A,N 10TH ST & T ST (STREET),$0.00 ,$0.00 ,Non-student stopped for speeding. Cited for DUS and DWI (.138 BAC).
12000445,TELEPHONE - OTHER,1/3/12 9:49,Cleared by Exception,12/27/11 12:33,,N/A,"(UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,A fac/staff member received a strange voice mail.
12000015,DISTURBANCE - OTHER,1/3/12 9:59,Cleared by Exception,12/30/11 8:00,,Selleck Quad 4000,600 North 15th St. (UNL RESIDENCE HALL),$0.00 ,$0.00 ,"Person reporting a male person making her feel frightened, male has not contacted her."
12000018,LOST OR STOLEN ITEM,1/3/12 17:32,Inactive,1/3/12 11:30,1/3/12 16:00,Whittier Building,"2200 Vine St (UNL SUPPORT FACILITY (office, service))","$2,200.00 ",$0.00 ,"Laptop taken from room in the Whittier Building, $2200 loss."
12000023,VANDALISM - BY GRAFFITI,1/4/12 11:30,Inactive,12/23/11 16:00,1/4/12 11:30,Bessey Hall,1215 U St (UNL ACADEMIC BUILDING),$0.00 ,$15.00 ,Vandalism of a concrete wall by spray paint.
12000025,LARCENY - FROM MOTOR VEHICLE,1/4/12 13:28,Inactive,12/31/11 22:30,1/1/12 9:30,N/A,1010 Michelle Court (DUPLEX _ off campus),$0.00 ,$0.00 ,Staff member had an NCard stolen from a vehicle at their residence off-campus.
12000048,VANDALISM - BY GRAFFITI,1/4/12 14:15,Inactive,,,Sheldon Memorial Art Gallery,451 North 12th St (MUSEUM),$0.00 ,$15.00 ,Illegible graffiti to an exterior electrical box.
12000034,ALCOHOL - OPEN CONTAINER,1/5/12 0:58,Cleared by Arrest,1/5/12 0:58,,N/A,N 10TH ST & T ST (STREET),$0.00 ,$0.00 ,"Non-student stopped for speeding. Cited/released for DUS, Open Container and Speeding."
