Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
10000001,ALCOHOL - DWI,1/1/10 0:42,Cleared by Arrest,1/1/10 0:42,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Non UNL student cited for DUI after being contacted for a traffic speeding. BAC .163.
10000002,MEDICAL EMERGENCY,1/1/10 3:13,Cleared by Exception,1/1/10 3:13,,Delta Tau Delta,715 North 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00 ,$0.00 ,UNL student suffered minor lacerations to his back after a fall.
10000006,ALCOHOL - DRUNK,1/1/10 20:37,Cleared by Exception,1/1/10 20:37,1/1/10 20:37,Bob Devaney Sports Center,1600 Court St (STREET),$0.00 ,$0.00 ,"Intoxicated person North side Devaney Center, taken to Detox and turned over to staff with a BAC of .343."
10000012,ALCOHOL - DWI,1/3/10 1:34,Cleared by Arrest,1/3/10 1:34,,N/A,N 16TH ST & Q ST (STREET),$0.00 ,$0.00 ,Non-student cited/released for driving the wrong way on a one way street and DWI (.094).
10000013,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/3/10 13:37,Cleared by Exception,1/3/10 13:37,,Hardin Hall,"1600 North 33rd St (UNL SUPPORT FACILITY (office, service))",$0.00 ,"$50,000.00 ","Water pipe broke in Hardin Hall Building causing Approx. $50,000.00 in damage."
10000014,TRESPASSING,1/3/10 13:46,Cleared by Arrest,1/3/10 13:46,,Campus Recreation Center,841 North 14th St (SPORT FACILITIES),$0.00 ,$0.00 ,"Person cited for trespassing Rec Center,banned and barred from University and lodged for five warrants."
10000016,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/3/10 15:28,Cleared by Exception,1/3/10 15:28,,Triangle Fraternity,519 N 16th St. (OFF CAMPUS/GREEK HOUSING),$0.00 ,$100.00 ,"Broken water pipe in 519 N. 16th, Street, $100.00 damage."
10000018,TRAFFIC - SUSPENDED DRIVER,1/3/10 19:44,Cleared by Arrest,1/3/10 19:43,,N/A,O ST & N 16TH ST (STREET),$0.00 ,$0.00 ,Person cited for Driving Under Suspension at 19th an O Street.
10000020,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/4/10 4:57,Cleared by Exception,1/4/10 4:57,,Warehouse 1,3600 East Campus Loop North (GOV'T PARKING LOT (UNL)),$0.00 ,"$1,800.00 ",Snow plow struck a vehicle.
10000034,LARCENY - OTHER OR FROM OPEN AREA,1/6/10 11:39,Inactive,1/3/10 0:00,1/6/10 7:00,N/A,"Innovation Campus (STATE OWNED FACILITY (fairgrounds, armory, etc.))",$500.00 ,$0.00 ,Event management items possibly stolen from the area around the Devaney Complex.
10000035,LOST OR STOLEN ITEM,1/6/10 15:27,Inactive,1/5/10 13:00,1/5/10 16:30,N/A,745 N 14th St. (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,Report of a lost or stolen set of keys.
