Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
7000003,VANDALISM - OTHER,1/1/07 8:00,Inactive,1/1/07 1:32,,Memorial Stadium,740 Stadium Dr. (SPORT FACILITIES),$0.00 ,$50.00 ,Damage was caused to a card reader box on the west side of the stadium by an unknown person.
7000007,MEDICAL EMERGENCY,1/2/07 6:50,Cleared by Exception,1/2/07 6:50,,1820 R,(SIDEWALK),$0.00 ,$0.00 ,Party slipped and fell on the ice in parking lot at 1820 R Street.
7000010,VANDALISM - BY GRAFFITI,1/2/07 9:14,Inactive,12/29/06 17:00,1/2/07 7:30,UNL Press Building,"401 N. 9th St. (UNL SUPPORT FACILITY (office, service))",$0.00 ,$50.00 ,Vandalism by graffiti on a section of the west wall.
7000019,MEDICAL EMERGENCY,1/3/07 21:42,Inactive,1/3/07 21:00,1/3/07 21:30,Bob Devaney Sports Center,(STREET),$0.00 ,$0.00 ,pty fell from truck picking up cones after basket ball game.
7000021,TRAFFIC - SUSPENDED DRIVER,1/4/07 0:01,Cleared by Arrest,1/4/07 0:01,,N/A,N 28TH ST & Y ST (STREET),$0.00 ,$0.00 ,"Pty stopped on traffic violation, found to be suspended cited for DUS and false statement made to a police officer."
7000022,MEDICAL EMERGENCY,1/4/07 2:21,Inactive,1/4/07 2:21,1/4/07 2:21,Nelle Cochrane Woods Art Bldg.,1140 R St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,"Custodian fell while moping floor, injuring his right knee."
7000026,TRAFFIC - OTHER,1/4/07 9:41,Cleared by Arrest,1/4/07 9:41,,N/A,N 16TH ST & S ST (STREET),$0.00 ,$0.00 ,Traffic stop resulting in an open title violation as well as numerous traffic offenses.
7000027,AUTO THEFT,1/4/07 11:02,Unfounded,12/22/06 7:36,12/22/06 12:00,Facilities Management Shops,942 North 22nd St (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,State truck found where it had been left. Unfounded auto theft case.
7000028,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/4/07 14:36,Inactive,1/4/07 13:41,,Manter Hall Life Siences,1101 T St (GOV'T PARKING LOT (UNL)),$0.00 ,"$1,500.00 ",Parked vehicle rolled out of parking stall and struck another parked vehicle.
7000031,FALSE INFORMATION - GIVEN TO OFC.,1/4/07 18:04,Cleared by Arrest,1/4/07 18:04,1/4/07 18:04,N/A,ANTELOPE CREEK RD & N 17TH ST (STREET),$0.00 ,$0.00 ,"Traffic stop that resulted in the party being cited for the following; False information to a Peace Officer, no valid registration, no proof of insurance, no operator's license and expired in transit decals."
7000035,BURGLARY,1/4/07 22:55,Cleared by Exception,12/15/06 23:00,1/3/07 23:00,Phi Kappa Psi,1548 S Street (OFF CAMPUS/GREEK HOUSING),$400.00 ,$0.00 ,Victim reports numerous items taken from his closed and locked room during the winter break.
7000036,TRAFFIC - SUSPENDED DRIVER,1/5/07 0:18,Cleared by Arrest,1/5/07 0:18,,N/A,N 27TH ST & W ST (STREET),$0.00 ,$0.00 ,Vehicle was stopped for white light to rear.  Driver was suspended with a history X7.  Three passengers in vehicle along with driver were minors.  All were cited for MIP.  Driver was arrested and lodged for DUS.  Driver and front seat passenger were also cited for Open Container.
7000041,VANDALISM - OTHER,1/5/07 14:10,Inactive,,1/5/07 12:40,Varner Hall,"3835 Holdrege St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$450.00 ,Outer window of a two pane window broken by unknown means.  No suspects.
7000042,FIRE (WORKING) - ALARM,1/5/07 20:08,Cleared by Exception,1/5/07 20:08,,2222 Vine Street,2222 Vine St. (UNL APARTMENT),$0.00 ,$0.00 ,Grease fire in the kitchen.  Fire was put out prior to LFR's arrival.  No damage.
7000044,FIRE - FALSE ALARM,1/5/07 22:51,Inactive,1/5/07 22:51,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Fire alarm station pulled on the third floor with no fire on location.  No witnesses or suspects.
7000045,MEDICAL EMERGENCY,1/5/07 22:52,Inactive,1/5/07 22:52,,Bob Devaney Sports Center,1600 Court St (SPORT FACILITIES),$0.00 ,$0.00 ,Party slipped and fell while dancing at the Governor's Ball.
7000047,LITTERING,1/6/07 1:00,Cleared by Arrest,1/6/07 1:00,,Andersen Hall,(GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,Male party observed urinating in the Andersen Hall parking lot.  He was cited and released for Littering.
7000048,LITTERING,1/6/07 1:11,Cleared by Arrest,1/6/07 1:11,,Andersen Hall,200 Centennial Mall North (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,Male party observed urinating in the Andersen Hall parking lot.  Cited and released for Littering.
7000049,NARCOTICS - POSSESSION,1/6/07 1:40,Cleared by Arrest,1/6/07 1:40,,N/A,N 26TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Traffic stop performed on vehicle.  Driver gave consent to search his vehicle which yielded two marijuana bongs.  Driver was cited and released for Possession of Drug Paraphernalia.
7000051,MEDICAL EMERGENCY,1/6/07 10:34,Cleared by Exception,1/6/07 10:34,,N/A,(UNL APARTMENT),$0.00 ,$0.00 ,Seizure. No transport.
7000054,MEDICAL EMERGENCY,1/6/07 12:20,Inactive,1/6/07 12:20,,Bob Devaney Sports Center,1600 Court St (SPORT FACILITIES),$0.00 ,$0.00 ,Party slipped on ice that was on the sidewalk near Devany.
7000059,FALSE INFORMATION - GIVEN TO OFC.,1/6/07 23:44,Cleared by Arrest,1/6/07 23:44,,N/A,N 10TH ST & CHARLESTON ST (STREET),$0.00 ,$0.00 ,Traffic stop.  Driver and passenger provided false information about driver's identity.  Both were cited for False Information.  Driver was also cited for Speeding.
7000061,LITTERING,1/7/07 0:51,Cleared by Arrest,1/7/07 0:51,,Andersen Hall,200 Centennial Mall North (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,"Party contacted in parking lot for urinating.  Ran from officer.  Failed to comply with ""Stop, Police"".  Resisted arrest when officer attempted to place him in custody.  Party was lodged for Failure to Comply, Resisting Arrest and cited for Littering.  See IR 07000060 for Assault on a Police Officer."
7000060,ASSAULT - OF POLICE OFFICER,1/7/07 0:53,Cleared by Arrest,1/7/07 0:53,,N/A,N 16TH ST & P ST (SIDEWALK),$0.00 ,$0.00 ,Officer had foot pursuit.  Party turned around and struck officer with closed fist.  Party was taken into custody and lodged for an Assault on a Police Officer.
7000062,VANDALISM - BY GRAFFITI,1/7/07 10:10,Inactive,1/5/07 17:00,1/7/07 10:10,Wick Alumni Center,"1520 R St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$150.00 ,Windows at Wick Alumni Center had been spray painted with silver paint.
7000067,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/7/07 18:00,Inactive,1/5/07 21:00,1/6/07 18:00,N/A,15th and U to S St. (STREET),$0.00 ,$0.00 ,Hit and run to parked by the Kaufmann Center.
7000072,VANDALISM - OTHER,1/8/07 7:34,Cleared by Arrest,1/5/07 18:00,1/7/07 17:00,Lied Center,"301 North 12th St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$50.00 ,A window on the north side of the building damaged by bricks being thrown into the window.
7000074,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/8/07 9:52,Cleared by Arrest,1/8/07 9:25,1/8/07 9:25,N/A,1033 N. 16th Street (GOV'T PARKING LOT (UNL)),$0.00 ,$500.00 ,Hit and run accident which resulted in the arrest of the person responsible.
7000078,LARCENY - STOLEN BIKE,1/8/07 14:21,Inactive,1/7/07 19:00,1/8/07 9:30,Neihardt Residence Center,540 North 16th St (SIDEWALK),$60.00 ,$0.00 ,Bike taken from rack by Neihardt.
7000079,TELEPHONE - OTHER,1/8/07 15:34,Inactive,1/8/07 15:18,,Abel Hall,860 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Party calling and breathing hard.
7000080,TELEPHONE - OBSCENE CALLS,1/8/07 16:11,Inactive,1/8/07 15:30,,Abel Hall,860 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Victim received a obscene phone call from unknown male party.
7000081,TELEPHONE - OBSCENE CALLS,1/8/07 16:22,Inactive,1/8/07 16:15,,Abel Hall,860 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Victim received an obscene phone call from unknown male party.
7000082,DISTURBANCE - OTHER,1/8/07 16:32,Inactive,10/8/06 18:00,1/8/07 16:00,Abel Hall,860 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Victim receiving unwanted massages on AOL instant messenger.
7000083,FRAUD - CREDIT CARDS/ATM/BANK CARD,1/8/07 19:52,Inactive,,,N/A,(UNKNOWN),$0.00 ,$0.00 ,unknown person used victims check card to make a purchase at smartbargains.com.
7000093,TRAFFIC - OTHER,1/9/07 3:19,Cleared by Arrest,1/9/07 0:21,,N/A,N ANTELOPE VALLEY PKWY & SALT CREEK RD (STREET),$0.00 ,$0.00 ,"Pty stopped on traffic violation, found to be suspoended and under the influence of THC and methamphetamine. Pty lodged in county jail."
7000092,NARCOTICS - POSSESSION,1/9/07 4:43,Cleared by Arrest,1/9/07 0:21,,N/A,N ANTELOPE VALLEY PKWY & SALT CREEK RD (STREET),$0.00 ,$0.00 ,"Pty stopped on traffic vciolation, found to be suspended and DUI, PTY also had a small baggy of marijuana weighing 3.1 grams,"
7000094,LOST OR STOLEN ITEM,1/9/07 9:01,Inactive,,,N/A,(UNKNOWN),$35.00 ,$0.00 ,Student which has misplaced his bicycle. Unknown at this time if it is lost or stolen.
7000096,TELEPHONE - OBSCENE CALLS,1/9/07 11:43,Inactive,1/9/07 11:32,1/9/07 11:42,Burnett Hall,1220 T St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,Nuisance phone calls by an unknown male caller. Non threatening.
7000098,LARCENY - FROM BUILDING,1/9/07 13:23,Cleared by Arrest,,,Canfield South,501 N 14th (UNL ACADEMIC BUILDING),"$3,735.50 ",$0.00 ,Case is being investigated.
7000105,LOST OR STOLEN ITEM,1/9/07 21:33,Inactive,1/9/07 20:30,1/9/07 21:00,Manter Hall Life Siences,1101 T St (UNL ACADEMIC BUILDING),$250.00 ,$0.00 ,"a student took off her ring to was her hands in a public restroom, when she returned an hour later the ring was gone."
7000107,TRAFFIC - OTHER,1/9/07 22:30,Cleared by Exception,1/9/07 22:30,,N/A,X ST & N 17TH ST (STREET),$0.00 ,$0.00 ,"Officer debilka attempted to contact driver of a vehicle LPD had been in pursuit of; However, vehicle sped away. Officer Dibelka did not pursuit vehicle. Pty later apprehended by LPD."
7000109,BURGLARY,1/10/07 12:25,Inactive,1/7/07 19:00,1/9/07 23:00,Sigma Phi Epsilon,601 North 16th St. (OFF CAMPUS/GREEK HOUSING),$340.00 ,$0.00 ,Stolen bicycle from a basement room at the fraternity.
7000115,FIRE (WORKING) - ALARM,1/10/07 19:50,Inactive,1/10/07 19:16,,Love Memorial Coop,3420 Holdrege St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Burnt microwave popcorn caused fire alarm to be activated.
7000119,ALCOHOL - DWI,1/11/07 0:55,Cleared by Arrest,1/11/07 0:55,1/11/07 0:55,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Pty stopped on traffic violation found to be DWI. .091 BAC.
7000121,ALCOHOL - DRUNK,1/11/07 5:50,Cleared by Exception,1/11/07 5:50,,N/A,N 17TH ST & R ST (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,Transient unable to care for self was transported to Detox where he tested .372 BAC.
7000122,TRAFFIC - OTHER,1/11/07 8:22,Cleared by Arrest,1/11/07 8:22,,N/A,17th Street/Vine Street (STREET),$0.00 ,$0.00 ,Traffic stop for no plates or paper. Driver cited for no proof of ownership and open container.
7000124,LARCENY - FROM BUILDING,1/11/07 14:01,Cleared by Arrest,1/11/07 14:01,,Westbrook Music Building,1104 R St (UNL ACADEMIC BUILDING),$200.00 ,$0.00 ,Party arrested at Westbrook Building for taking a drum pedal.
7000127,TRAFFIC - SUSPENDED DRIVER,1/11/07 20:19,Cleared by Arrest,1/11/07 20:15,1/11/07 20:55,N/A,N 23RD ST & W ST (STREET),$0.00 ,$0.00 ,Vehicle stopped for white light to rear of vehicle.  Driver found to be suspended.  Passenger found to have an open container.  Driver cited and released for DUS.  Passenger cited and released for Open Container.
7000131,TRESPASSING,1/12/07 0:18,Cleared by Exception,1/12/07 0:18,,17 & R Parking Garage,300 North 17th St (GOV'T PARKING GARAGE (UNL)),$0.00 ,$0.00 ,Male party contacted sleeping in the parking garage stairwell.  Given a policy letter and released with a warning.
7000133,ALCOHOL - DWI,1/12/07 1:00,Cleared by Arrest,1/12/07 1:00,,N/A,N 16TH ST & Q ST (STREET),$0.00 ,$0.00 ,"Traffic stop, wrong way on a one way.  Driver found to be intoxicated.  Refused PBT and Intoxilyzer.  Cited and released.  Cited for DWI, Refusal and Wrong Way on One Way.  A friend of driver's was cited for Fail to Comply. He was cited and released."
7000132,BURGLARY,1/12/07 1:14,Cleared by Arrest,1/12/07 0:40,1/12/07 1:05,Alpha Gamma Sigma,4001 Holdrege St. (OFF CAMPUS/GREEK HOUSING),"$1,964.00 ",$0.00 ,Victim reports items taken from his room.  No forced entry.
7000138,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/12/07 13:43,Inactive,1/12/07 8:25,1/12/07 9:25,N/A,1033 N. 16th Street (GOV'T PARKING LOT (UNL)),$0.00 ,$500.00 ,Non injury hit and run accident occurring in the Reunion lot. No suspects.
7000146,FIRE - FALSE ALARM,1/13/07 1:13,Cleared by Arrest,1/13/07 1:13,,Alpha Tau Omega,"1433 ""R"" Street (OFF CAMPUS/GREEK HOUSING)",$0.00 ,$0.00 ,Fire-False Alarm at the Alpha Tau Omega Fraternity.  A member of the house was found to be responsible for spraying a fire extinguisher causing the fire alarm to activate.  Party was cited and released for False Reporting.
7000147,NARCOTICS - OTHER,1/13/07 2:50,Cleared by Arrest,1/13/07 2:50,,Cather Hall,609 North 17th Street (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Odor of marijuana was detected on the 2nd Floor of Cather Hall.  Contact was made with the resident of the room.  Voluntarily handed over a marijuana pipe with residue.  Cited and released for Possession of Paraphernalia.
7000149,LARCENY - FROM BUILDING,1/13/07 11:18,Unfounded,1/12/07 19:00,1/12/07 19:30,Cook Pavilion,845 North 14th St (SPORT FACILITIES),$200.00 ,$0.00 ,Cellular phone stolen from the indoor football field.
7000150,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/13/07 12:06,Inactive,1/12/07 19:30,1/13/07 12:06,N/A,1033 N. 16th Street (GOV'T PARKING LOT (UNL)),$0.00 ,$300.00 ,Non injury hit and run accident.  No suspects.
7000151,MEDICAL EMERGENCY,1/13/07 16:18,Inactive,1/13/07 1:30,1/13/07 16:18,N/A,1545 R Street (OFF CAMPUS/GREEK HOUSING),$0.00 ,$0.00 ,Male party with possible dislocated knee suffered at an off campus location the night before.  Party was transported by LFR to St. Elizabeth's hospital for treatment.
7000152,TELEPHONE - OBSCENE CALLS,1/13/07 18:17,Inactive,1/13/07 17:00,1/13/07 18:17,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Several parties received obscene phone calls from a male caller.  Retrieved suspect phone number from victims caller I.D.
7000154,ALCOHOL - MINOR IN POSSESSION,1/14/07 1:18,Cleared by Arrest,1/14/07 1:18,,Harper Hall,1150 North 14th St (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,"Officer observed alcohol sitting on trunk of vehicle with four males.  All four parties cited for Minor in Possession. BAC's-- .040 BAC, .150 BAC, .184 BAC, .080 BAC.  All cited and released."
7000155,VANDALISM - OTHER,1/14/07 1:30,Cleared by Arrest,1/14/07 1:18,1/14/07 1:30,Harper Hall,1150 North 14th St (GOV'T PARKING LOT (UNL)),$0.00 ,$300.00 ,Witness observed party responsible kick off two side mirrors from vehicles parked in the parking lot and drive off.
7000156,ALCOHOL - MINOR IN POSSESSION,1/14/07 2:12,Cleared by Arrest,1/14/07 2:12,,N/A,1220 N. 14th (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,"Officer contacted five parties with alcohol in vehicle.  All were cited and released for MIPC.  BAC's--.154 BAC, .088 BAC, .137 BAC, .179 BAC.  One party was tranported to Detox where he was admitted.  Refused PBT."
7000157,MEDICAL EMERGENCY,1/14/07 3:42,Cleared by Exception,1/14/07 3:42,,N/A,(UNL RESIDENCE HALL),$0.00 ,$0.00 ,LFR was dispatched to Abel Hall on an intoxicated male party.  LFR determined the party did not require medical attention.  Turned over to sober friend.
7000158,"PROPERTY DAMAGE - UNINTENTIONAL,NON TRAFFIC",1/14/07 9:10,Inactive,,1/14/07 9:10,Varner Hall,3835 Holdrege St (GOV'T PARKING LOT (UNL)),$0.00 ,$100.00 ,Damaged metal bollard light fixture. Unknown cause.
7000161,MISC - OTHER,1/14/07 10:56,Inactive,1/14/07 10:56,,Nelle Cochrane Woods Art Bldg.,1140 R St (UNL ACADEMIC BUILDING),$0.00 ,$100.00 ,Insignificant chemical spill inside room 304 which also seeped into room 207
7000165,TRESPASSING,1/14/07 22:03,Cleared by Arrest,1/14/07 22:03,,Nebraska Union,"(UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,"Transient refusing to leave the student union when closing, lodged for obstructibg an officer as detox refused to take him. .275 BAC."
7000167,ALCOHOL - MINOR IN POSSESSION,1/14/07 23:28,Cleared by Arrest,1/14/07 23:28,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,A total of 7 pty's were cited for mipc after being reported by Selleck Quad Staff All t BAC'S Are mentioned in the reports.
7000171,TRESPASSING,1/15/07 23:12,Cleared by Arrest,1/15/07 23:12,,Union-City,"(UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,Transient who had been ban and barred from campus was refusing to leave the city union after closing time. Pty was lodged for trespass. .259 BAC.
7000173,MEDICAL EMERGENCY,1/16/07 1:48,Inactive,1/16/07 1:48,1/16/07 1:48,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,A Student attempted to get his non-Studebt cousin to his dorm room at  Selleck hall when the barefoot non-student passed out. Temp. -10 Degress. pty taken to hospital by lLFR. Refused BAC Tesr
7000180,FIRE - FALSE ALARM,1/16/07 17:12,Inactive,1/16/07 17:12,,Oldfather Hall,660 North 12th St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,Main sprinkler line broke causing water to flood the first floor.
7000181,MEDICAL EMERGENCY,1/16/07 22:43,Inactive,1/16/07 22:25,1/16/07 22:43,Cather Hall,609 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,"Student suffered an apparent allergic reaction to ingredients in a piece of gum she chewed. Pty was alert and speaking, but transfered to ST'E's Medical Center at her request."
7000183,NARCOTICS - POSSESSION,1/17/07 3:11,Cleared by Arrest,1/17/07 0:35,,N/A,T ST & N 25TH ST (STREET),$0.00 ,$0.00 ,"Pty stopped on traffic violation found to be DWI, in possession of marijuana, and crack cocaine. Pty lodged under crack cocaine and cited for other offenses."
7000189,ALCOHOL - DRUNK,1/17/07 10:16,Cleared by Exception,1/17/07 10:16,,N/A,1619  R St. (OFF CAMPUS/GREEK HOUSING),$0.00 ,$0.00 ,Intoxicated person needing ride to Detox. Tested a .197.
7000197,LARCENY - FROM BUILDING,1/17/07 17:47,Inactive,1/17/07 13:45,1/17/07 15:00,Home Economics,1650 North 35th St (UNL ACADEMIC BUILDING),$276.00 ,$0.00 ,Purse taken from desk drawer in the Home Economics building.
7000200,LARCENY - FROM MOTOR VEHICLE,1/17/07 19:27,Inactive,1/16/07 21:15,1/17/07 15:30,N/A,1220 N 14th HSS Lot (GOV'T PARKING LOT (UNL)),$150.00 ,$0.00 ,Mirror taken from vehicle
7000210,MEDICAL EMERGENCY,1/18/07 13:22,Inactive,1/18/07 13:22,,Andrews Hall,625 North 14th St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,Party became ill from low sugar count. Medical refused.
7000218,DISTURBANCE - DOMESTIC,1/18/07 21:22,Inactive,1/18/07 16:30,1/18/07 21:22,Pound Hall,513 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Domestic disturbance involving phone calls and civil matter involving property.
7000222,VANDALISM - OTHER,1/19/07 0:41,Inactive,1/19/07 0:30,1/19/07 0:40,Phi Gamma Delta,1425 R St. (OFF CAMPUS/GREEK HOUSING),$0.00 ,$450.00 ,Possible damage to vehicle in parking lot from an object thrown from the 3rd Floor of the ATO House.
