Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
5000003,,1/1/05 0:33,,1/1/05 0:33,1/1/05 0:33,N/A,R ST & N 16TH ST ( ),$0.00 ,$0.00 ,
5000005,,1/1/05 1:34,,1/1/05 1:34,1/1/05 1:34,N/A,P ST & N 16TH ST ( ),$0.00 ,$0.00 ,
5000008,,1/1/05 15:30,,12/28/04 14:00,12/31/04 22:00,N/A,2 Devonshire Lane ( ),$0.00 ,$0.00 ,
5000010,,1/1/05 19:40,,1/1/05 19:40,1/1/05 19:40,N/A,PEAR ST & N 29TH ST ( ),$0.00 ,$0.00 ,
5000015,,1/2/05 16:58,,12/17/04 8:30,12/17/04 10:00,Beadle Center,1901 Vine St ( ),$0.00 ,$0.00 ,
5000024,,1/4/05 10:08,,12/16/04 15:00,12/20/04 8:00,Kauffman Hall,630 North 14th St ( ),$0.00 ,$0.00 ,
5000025,,1/4/05 12:29,,12/23/04 22:00,12/23/04 22:05,N/A,N 48TH ST ( ),$50.00 ,$0.00 ,
5000030,LOST OR STOLEN ITEM,1/4/05 23:43,,10/1/04 0:00,12/21/04 0:00,Burnett Hall,1220 T St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,
5000035,,1/6/05 7:44,,1/6/05 7:44,1/6/05 7:44,Othmer Hall,820 North 16th St ( ),$0.00 ,$0.00 ,
5000036,LOST OR STOLEN ITEM,1/6/05 10:53,,1/6/05 7:50,1/6/05 9:00,N/A,City of Lincoln (UNKNOWN),$75.00 ,$0.00 ,
5000037,,1/6/05 12:37,,1/6/05 11:39,1/6/05 11:39,Stadium,( ),$0.00 ,$0.00 ,
5000044,,1/7/05 1:16,,1/7/05 1:16,1/7/05 1:16,N/A,N 149TH ST & N 15TH ST ( ),$0.00 ,$0.00 ,
5000045,,1/7/05 1:47,,1/7/05 1:47,1/7/05 1:47,N/A,P ST & N 18TH ST ( ),$0.00 ,$0.00 ,
5000052,,1/7/05 13:29,,1/3/05 8:00,1/6/05 9:00,Hardin Hall,1600 North 33rd St ( ),$400.00 ,$0.00 ,
5000053,,1/7/05 13:38,,12/24/04 18:00,12/31/04 7:00,Telecommunications Building,900 North 16th St ( ),"$2,000.00 ",$0.00 ,
5000054,,1/7/05 16:10,,1/7/05 8:30,1/7/05 16:10,Beadle Center,1901 Vine St ( ),$0.00 ,$0.00 ,
5000058,,1/8/05 1:14,,1/8/05 1:14,1/8/05 1:14,N/A,N 146TH ST & N 14TH ST ( ),$0.00 ,$0.00 ,
5000064,,1/8/05 14:26,,1/7/05 11:00,1/7/05 13:30,College of Dentistry,3975 Potter St ( ),$0.00 ,$0.00 ,
5000070,,1/8/05 23:19,,1/8/05 22:14,1/8/05 22:14,N/A,( ),$0.00 ,$0.00 ,
5000071,,1/9/05 1:17,,1/9/05 1:17,1/9/05 1:17,Andersen Hall,200 Centennial Mall North ( ),$0.00 ,$0.00 ,
5000072,,1/9/05 3:45,,1/9/05 2:24,1/9/05 2:24,N/A,VINE ST & N 21ST ST ( ),$0.00 ,$0.00 ,
5000085,FRAUD - CREDIT CARDS/ATM/BANK CARD,1/10/05 13:50,,11/21/04 15:27,11/21/04 22:48,Nebraska Union,1400 R St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000086,ACCIDENTS - P.D. REPORTABLE,1/10/05 14:08,,1/10/05 14:00,1/10/05 14:00,N/A,1640 Y St. (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,
5000089,LARCENY - FROM MOTOR VEHICLE,1/10/05 15:04,,1/10/05 8:00,1/10/05 13:45,N/A,Parking lot (GOV'T PARKING LOT (UNL)),$2.00 ,$12.00 ,
5000090,ACCIDENTS - P.D. NOT REPORTABLE,1/10/05 18:19,,1/10/05 4:30,1/10/05 16:00,N/A,Union Meter Parking Lot (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,
5000094,NARCOTICS - POSSESSION,1/10/05 21:56,,1/10/05 21:56,1/10/05 21:56,Smith Hall,1120 N. 14th Street Room 922 (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000096,BURGLARY,1/11/05 10:46,,1/7/05 8:00,1/7/05 12:00,N/A,400 University Terrace (OFF CAMPUS/GREEK HOUSING),$410.00 ,$0.00 ,
5000097,LARCENY - FROM BUILDING,1/11/05 12:12,,1/10/05 23:30,1/10/05 23:40,Love Library North,(LIBRARY),$235.00 ,$0.00 ,
5000103,ALCOHOL - DWI,1/12/05 0:42,,1/12/05 0:42,,N/A,Q ST & N 16TH ST (STREET),$0.00 ,$0.00 ,
500107,ACCIDENTS - P.D. H&R REPORTABLE,1/12/05 13:55,,1/10/05 16:00,1/11/05 16:00,N/A,16th St. Y to Holdrege  (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,
5000108,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/12/05 15:13,,,1/11/05 19:00,N/A,14th (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,
5000109,ASSAULT - NON DOMESTIC,1/12/05 15:16,,12/17/04 11:30,12/17/04 12:00,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000110,DISTURBANCE - OTHER,1/12/05 15:25,,1/12/05 15:27,1/12/05 15:35,Burnett Hall,1220 T St (UNL ACADEMIC BUILDING),$0.00 ,$0.00 ,
5000116,MISC - OTHER,1/13/05 0:56,,1/13/05 0:56,,N/A,Q ST & N 17TH ST (ALLEY),$0.00 ,$0.00 ,
5000117,OUTSIDE - O.P.S. OTHER,1/13/05 3:37,,1/13/05 3:37,,N/A,601 South 32nd (SINGLE FAMILY _ off campus),$0.00 ,$0.00 ,
5000119,LARCENY - FROM BUILDING,1/13/05 11:03,,1/12/05 15:00,1/13/05 8:00,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$100.00 ,$0.00 ,
5000120,MEDICAL EMERGENCY,1/13/05 11:25,,1/13/05 11:25,1/13/05 11:25,Cather Hall,609 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000122,MEDICAL EMERGENCY,1/13/05 13:50,,1/13/05 13:50,,Bob Devaney Sports Center,1600 Court St (SPORT FACILITIES),$0.00 ,$0.00 ,
5000125,LOST OR STOLEN ITEM,1/13/05 16:52,,1/13/05 10:30,1/13/05 14:30,Andrews Hall,625 North 14th St (UNL ACADEMIC BUILDING),$300.00 ,$0.00 ,
5000129,FIRE (WORKING) - ALARM,1/13/05 23:39,,1/13/05 23:39,,N/A,601 North 16th (OFF CAMPUS/GREEK HOUSING),$0.00 ,$0.00 ,
5000133,ALCOHOL - DRUNK,1/14/05 1:39,,1/14/05 1:39,,N/A,14th/Avery - Holdrege (SIDEWALK),$0.00 ,$0.00 ,
5000134,ASSAULT - NON DOMESTIC,1/14/05 2:12,,1/14/05 1:25,,14th & Avery Parking Garage,1111 North 14th St (GOV'T PARKING GARAGE (UNL)),$0.00 ,$0.00 ,
5000136,ACCIDENTS - P.D. NOT REPORTABLE,1/14/05 8:09,,1/14/05 8:47,,Nebraska Hall,900 North 16th St (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,
5000140,LOST OR STOLEN ITEM,1/14/05 20:03,,1/14/05 7:30,1/14/05 11:30,N/A,(UNKNOWN),$50.00 ,$0.00 ,
5000142,LOST OR STOLEN ITEM,1/14/05 21:58,,1/14/05 14:30,1/14/05 17:00,N/A,Unknown (UNKNOWN),$0.00 ,$0.00 ,
5000143,NARCOTICS - POSSESSION,1/15/05 0:39,,1/14/05 22:40,1/14/05 22:40,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000145,ALCOHOL - MINOR IN POSSESSION,1/15/05 1:33,,1/14/05 23:41,1/14/05 23:41,Kauffman Hall,630 North 14th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000146,ALCOHOL - DWI,1/15/05 3:39,,1/15/05 2:26,1/15/05 2:26,N/A,(STREET),$0.00 ,$0.00 ,
5000148,ALCOHOL - DRUNK,1/15/05 6:07,,1/15/05 6:07,,Selleck Quad,600 North 15th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,
5000149,MEDICAL EMERGENCY,1/15/05 12:21,,1/15/05 12:21,1/15/05 12:30,Bob Devaney Sports Center,1600 Court St (SPORT FACILITIES),$0.00 ,$0.00 ,
5000158,ASSAULT - NON DOMESTIC,1/16/05 0:56,,1/16/05 0:56,,Nebraska Union,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,
5000159,ALCOHOL - MINOR IN POSSESSION,1/16/05 4:23,,1/16/05 1:36,1/16/05 1:36,N/A,(STREET),$0.00 ,$0.00 ,
5000169,ALCOHOL - MINOR IN POSSESSION,1/17/05 2:06,,1/17/05 2:06,1/17/05 2:06,N/A,(GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,
5000174,ACCIDENTS - P.D. NOT REPORTABLE,1/17/05 16:23,,1/17/05 16:19,,17 & R Parking Garage,300 North 17th St (GOV'T PARKING GARAGE (UNL)),$0.00 ,$0.00 ,
5000177,BURGLARY,1/17/05 20:56,,1/15/05 0:00,1/17/05 10:30,Oldfather Hall,660 North 12th St (UNL ACADEMIC BUILDING),$300.00 ,$0.00 ,
5000178,OUTSIDE - O.P.S. OTHER,1/18/05 0:39,,1/18/05 0:39,1/18/05 0:39,N/A,HUNTINGTON AVE & N 33RD ST (STREET),$0.00 ,$0.00 ,
