Case #,Incident Code,Reported,Case Status,Start Occurred,End Occurred,Building,Location,Stolen,Damaged,Summary
13000004,LITTERING,1/1/13 2:18,Cleared by Arrest,1/1/13 2:18,,Andersen Hall,200 Centennial Mall North (GOV'T PARKING LOT (UNL)),$0.00 ,$0.00 ,A non-student was cited/released for Littering.
13000005,ALCOHOL - DRUNK,1/1/13 2:39,Cleared by Exception,1/1/13 2:39,,N/A,N 16TH ST & Q ST (ALLEY),$0.00 ,$0.00 ,Non-student taken to detox after she fell and sat down in an alley. Refused to give a breath sample.
13000007,ALCOHOL - MINOR IN POSSESSION,1/1/13 4:43,Cleared by Arrest,1/1/13 4:43,,The Courtyards,733 North  17th  St. (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Non-student contacted for drinking in a dorm room. Cited/released for MIP-C (.036 BAC).
13000009,FRAUD - CREDIT CARDS/ATM/BANK CARD,1/1/13 18:47,Cleared by Exception,12/26/12 0:00,12/26/12 23:59,Union-City,"1400 R St (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,"unauthorized use of credit card at the City Union Book Store, $167 loss."
13000012,LARCENY - FROM BUILDING,1/2/13 18:20,Cleared by Arrest,1/2/13 15:00,1/2/13 17:00,Campus Recreation Center,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$40.00 ,$0.00 ,Report of a blue cloth purse with content stolen from the women's locker room.
13000014,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/3/13 12:47,Cleared by Exception,1/3/13 8:00,1/3/13 12:45,N/A,1431 Vine Street (GOV'T PARKING LOT (UNL)),$0.00 ,"$1,000.00 ",Report a Hit and Run accident of a parked car.
13000015,FIRE (WORKING) - ALARM,1/3/13 17:54,Inactive,1/3/13 17:54,,Fedde Hall,1601 North 35th Street (UNL RESIDENCE HALL),$0.00 ,"$2,500.00 ",Fire in dorm room.  No injuries. Damage estimated at $2500.00.
13000019,MEDICAL EMERGENCY,1/4/13 8:42,Cleared by Exception,1/4/13 8:42,,Canfield South,"501 N 14th (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,A female was transported to Bryan LGH East for further treatment following a diabetic reaction.
13000025,DISTURBANCE - OTHER,1/4/13 13:00,Inactive,1/2/13 5:45,1/4/13 5:45,Abel Hall,880 North 17th Street (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Report of a time clock being unplugged numerous times during the course of a three day period.
13000020,TRAFFIC - SUSPENDED DRIVER,1/4/13 13:11,Cleared by Arrest,1/4/13 13:11,,N/A,N 17TH ST & R ST (STREET),$0.00 ,$0.00 ,A non-student was cited/released for DUS and speeding. Passenger was lodged at Lancaster County Corrections on a warrant.
13000023,DISTURBANCE - OTHER,1/4/13 13:44,Cleared by Arrest,12/21/12 18:30,1/4/13 7:00,N/A,"402 W State Farm Road (North Platte) (UNL SUPPORT FACILITY (office, service))",$0.00 ,$0.00 ,Report of a suspicious substance found under an office door.
13000028,TRAFFIC - SUSPENDED DRIVER,1/4/13 19:40,Cleared by Arrest,1/4/13 19:40,,N/A,N 17TH ST & Y ST (STREET),$0.00 ,$0.00 ,Vehicle stopped for violating a stop sign.  Driver contacted and found to be suspended.  Cited/lodged for DUS and Stop Sign Violation.  History of DUS (X4) and FTA (X2).
13000030,NARCOTICS - POSSESSION,1/5/13 0:04,Cleared by Arrest,1/5/13 0:04,,Harper Hall,1150 North 14th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,Student contacted for narcotics use in a dorm room.  Cited/released for Possession of Marijuana 1 oz or Less and Possession of Drug Paraphernalia.
13000032,ALCOHOL - DWI,1/5/13 4:24,Cleared by Arrest,1/5/13 4:24,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Non-student stopped for speeding.  Cited/Detox for Refuse Chemical Test and 5 other Misdemeanors.
13000036,LARCENY - FROM BUILDING,1/5/13 18:48,Cleared by Arrest,1/5/13 18:00,1/5/13 18:45,Campus Recreation Center,"841 North 14th St (UNL SUPPORT FACILITY (office, service))",$30.00 ,$0.00 ,Report of a purse and contents stolen from an unlocked locker in the women's locker room.
13000040,ACCIDENTS - P.D. H&R NOT REPORTABLE,1/6/13 0:08,Inactive,1/5/13 22:15,1/6/13 0:08,N/A,200 Centennial Mall North (GOV'T PARKING LOT (UNL)),$0.00 ,$500.00 ,Hit and accident.  Damage estimated at $500.00.  Investigation continues.
13000044,TRAFFIC - SUSPENDED DRIVER,1/6/13 23:34,Cleared by Arrest,1/6/13 23:34,,N/A,N 17TH ST & VINE ST (STREET),$0.00 ,$0.00 ,Non-student stopped for speeding and cited/released for Driving Under Suspension.
13000045,ALCOHOL - MINOR IN POSSESSION,1/7/13 0:38,Cleared by Arrest,1/7/13 0:38,1/7/13 0:38,N/A,N 17TH ST & Y ST (STREET),$0.00 ,$0.00 ,UNL student contacted for walking on a pedestrian-restricted roadway. Determined to be a minor and had been consuming alcohol off-campus. Cited/taken to Detox for MIP-C. .149 BAC.
13000046,TRAFFIC - SUSPENDED DRIVER,1/7/13 1:00,Cleared by Arrest,1/7/13 1:00,,N/A,N 10TH ST & Q ST (STREET),$0.00 ,$0.00 ,Non-student stopped for headlight infraction. Driver was cited/released for Driving Under Suspension.
13000047,NARCOTICS - POSSESSION,1/7/13 1:11,Cleared by Arrest,1/7/13 1:11,,Sandoz Hall,820 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,UNL student contacted smoking marijuana in his dorm room. Cited/released for Possession of Marijuana Less Than an Ounce.
13000048,ALCOHOL - MINOR IN POSSESSION,1/7/13 3:28,Cleared by Arrest,1/7/13 3:28,,Abel Hall,880 North 17th St (UNL RESIDENCE HALL),$0.00 ,$0.00 ,UNL student taken to detox after causing a disturbance. Cited for MIP-C (.174 BAC) and Disturbing the Peace.
13000050,OUTSIDE CRIME - REPORTS OUTSIDE JURISDICTION,1/7/13 12:23,Inactive,,,N/A,(SINGLE FAMILY _ off campus),$0.00 ,$0.00 ,Report of unwanted romantic advances and gifts to a UNL student occurring outside of Lincoln/Lancaster County.
